2026-05-30 10:17:31,065 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:31,148 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:31,193 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:31,197 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:31,205 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:31,207 | CAMERA_MANAGER | INFO | c2 sent 20 frames
2026-05-30 10:17:31,275 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:31,319 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:31,319 | CAMERA_MANAGER | INFO | c3 sent 20 frames
2026-05-30 10:17:31,321 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:31,349 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:31,412 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:31,412 | CAMERA_MANAGER | INFO | c4 sent 20 frames
2026-05-30 10:17:31,447 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:31,447 | CAMERA_MANAGER | INFO | c1 sent 20 frames
2026-05-30 10:17:31,474 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:31,536 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:31,585 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:31,587 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:31,602 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:31,679 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:31,715 | CAMERA_MANAGER | INFO | Sending frame from c3
2026-05-30 10:17:31,717 | CAMERA_MANAGER | INFO | Sending frame from c1
2026-05-30 10:17:31,729 | CAMERA_MANAGER | INFO | Sending frame from c2
2026-05-30 10:17:31,815 | CAMERA_MANAGER | INFO | Sending frame from c4
2026-05-30 10:17:31,856 | CAMERA_MANAGER | INFO | Sending frame from c3
