2026-05-30 11:12:49,243 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,253 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,259 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,278 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,289 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,296 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,298 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,326 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,334 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,334 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,349 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,349 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,365 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,381 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,381 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,392 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,440 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,448 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,511 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,524 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,582 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,588 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,594 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,620 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,638 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,650 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,667 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,680 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,686 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,691 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,716 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,724 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,728 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,782 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,793 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,799 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,821 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,838 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,850 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,859 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,863 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,875 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,894 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,902 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,913 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,924 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,934 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,941 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,958 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,968 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,976 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:49,982 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,033 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,097 | ROI | INFO | Saved To Redis : fire_smoke_frames
2026-05-30 11:12:50,120 | ROI | INFO | Saved To Redis : fire_smoke_frames
